calendar_dt,store_id,fact_staff_value_lag_1,fact_load_factor_lag_1,num_available_couriers_lag_1,fact_num_orders_lag_1,fact_percent_lateness_lag_1,city_nm,store_lifetime_in_days,fact_staff_churn,flag_high_load_lag_1,marketing_costs_lag_1,fact_couriers_with_shifts_lag_1
2025-11-03,000fade4-e8dc-11ed-b10a-08c0eb31fffb,1,0.5263157894736842,10,10,,Ульяновск,888.0,1.0,1,368357734.5165995,19
2025-11-10,000fade4-e8dc-11ed-b10a-08c0eb31fffb,8,1.9411764705882353,13,33,69.56521739130434,Ульяновск,895.0,1.0,1,,17
2025-11-17,000fade4-e8dc-11ed-b10a-08c0eb31fffb,8,2.4,12,36,66.66666666666666,Ульяновск,902.0,4.0,1,42545024115.87992,15
2025-11-24,000fade4-e8dc-11ed-b10a-08c0eb31fffb,11,2.2941176470588234,12,39,94.44444444444444,Ульяновск,909.0,2.0,1,,17
2025-11-03,0022f1b0-b8f8-11ee-b10b-08c0eb31fffb,1,0.8333333333333334,10,10,,Набережные Челны,617.0,1.0,1,,12
2025-11-10,0022f1b0-b8f8-11ee-b10b-08c0eb31fffb,5,3.111111111111111,7,28,72.22222222222221,Набережные Челны,624.0,1.0,1,238256847.28735685,9
2025-11-17,0022f1b0-b8f8-11ee-b10b-08c0eb31fffb,6,3.2,7,32,68.75,Набережные Челны,631.0,0.0,0,,10
2025-11-24,0022f1b0-b8f8-11ee-b10b-08c0eb31fffb,6,2.727272727272727,7,30,92.85714285714286,Набережные Челны,638.0,0.0,0,200176.74583570563,11
2025-11-03,00440ac1-6a1d-11eb-85a3-1c34dae33151,1,1.25,10,10,,Новосибирск,1679.0,1.0,1,2175770805.061542,8
2025-11-10,00440ac1-6a1d-11eb-85a3-1c34dae33151,6,3.090909090909091,10,34,80.0,Новосибирск,1686.0,2.0,1,,11
2025-11-17,00440ac1-6a1d-11eb-85a3-1c34dae33151,9,3.3636363636363638,12,37,100.0,Новосибирск,1693.0,1.0,1,2187863.7486256305,11
